Generation,Perplexity
1,5.2822299
1,7.294053078
1,6.189172268
1,9.034936905
1,7.173445225
1,7.832381725
1,8.317426682
1,4.088970184
1,8.158579826
1,7.026621342
1,7.439311028
1,7.440570354
1,6.723129272
1,7.709619045
1,5.718136787
1,5.614829063
1,8.776039124
1,7.579161167
1,5.755233765
1,4.84863615
1,7.563896656
1,6.424215317
1,3.905133247
1,8.102722168
1,6.122816563
1,7.579582214
1,7.513719082
1,7.080839157
1,7.825370789
1,8.84223938
1,8.386671066
1,7.638931274
1,6.882181168
1,6.647687912
1,6.58245182
1,7.247573853
1,7.484930992
1,5.005657673
1,8.406126976
1,6.476599216
1,6.484311104
1,7.917679787
1,6.753590107
1,6.862359047
1,7.695614338
1,5.899944782
1,7.922274113
1,6.568279743
1,24.47059822
1,5.724967957
1,6.811093807
1,6.741475582
1,5.791924953
1,8.219894409
1,8.026780128
1,9.445025444
1,6.811896324
1,6.386287689
1,10.96661091
1,8.038147926
1,6.956794739
1,8.715054512
1,8.02765274
1,7.098223686
1,8.365050316
1,7.520925522
1,7.36248064
1,6.71718359
1,8.709350586
1,8.142673492
1,8.353667259
1,7.514834881
1,8.301971436
1,6.469726563
1,5.5041008
1,6.380697727
1,13.86294651
1,6.67554903
1,5.516863346
1,8.202777863
1,9.018943787
1,7.812590122
1,6.811489582
1,6.498036861
1,6.425006866
1,7.422906876
1,9.051387787
1,6.873999119
1,6.550308704
1,7.354327679
1,7.607426643
1,9.540064812
1,6.921048164
1,6.544763088
1,7.306460381
1,6.732781887
1,6.871549606
1,6.842384815
1,8.556125641
1,8.423904419
1,7.713331223
1,6.924382687
1,7.27075243
1,9.458705902
1,5.810872078
1,7.01187849
1,13.15937996
1,8.493244171
1,6.261371136
1,7.341749191
1,7.282198906
1,9.886749268
1,8.367287636
1,8.222875595
1,8.386098862
1,10.64236164
1,8.488818169
1,7.902933598
1,6.644248486
1,7.929818153
1,5.816978455
1,6.756480217
1,6.152775288
1,7.162521362
1,7.866509438
1,7.379862309
1,6.378993511
1,8.503229141
1,7.086435318
1,6.663917542
1,5.274240971
1,4.486401558
1,8.69015789
1,8.463129997
1,5.694324493
1,6.656623363
1,6.296772003
1,7.213366032
1,6.009626389
1,6.078099251
1,6.814106941
1,6.158136368
1,8.862228394
1,8.165141106
1,8.268256187
1,8.915117264
1,9.523153305
1,5.687506199
1,5.70522213
1,7.653265476
1,12.18589306
1,8.665477753
1,7.528076649
1,6.505196095
1,5.197285652
1,5.887011528
1,6.246631145
1,6.97492981
1,5.622111797
1,5.524635792
1,8.711547852
1,5.119193077
1,6.062651157
1,6.714312553
1,8.524308205
1,9.188819885
1,7.61646986
1,9.950914383
1,6.942704201
1,6.883248806
1,5.61766243
1,8.668242455
1,6.653847218
1,6.228065491
1,7.150475979
1,7.419141769
1,6.097042084
1,8.599946976
1,6.288462639
1,7.666145802
1,6.775797844
1,7.017794609
1,6.167599678
1,8.609853745
1,9.074901581
1,6.747503757
1,7.545054913
1,6.065206528
1,6.773393154
1,8.697182655
1,7.402689934
1,7.426953316
1,7.781003475
1,7.049491405
1,9.278168678
1,10.07626629
1,9.23500824
1,7.091910839
1,9.539669037
1,6.411268711
1,7.565020084
1,10.07868385
1,9.145180702
1,6.178757191
1,5.144989967
1,8.365838051
1,6.312794209
1,6.924868107
1,8.104997635
1,7.585074425
1,5.99146986
1,5.708449364
1,8.705032349
1,8.08910656
1,5.909152031
1,8.198471069
1,6.933712006
1,6.469817638
1,5.112322807
1,8.613710403
1,7.541422367
1,6.684037685
1,5.266649723
1,5.004261971
1,7.665372849
1,7.412845612
1,5.822691441
1,7.491165161
1,7.277905464
1,7.764610291
1,6.67825985
1,7.741799831
1,5.962450027
1,8.20297718
1,6.337816715
1,6.458967209
1,7.170245647
1,7.033755779
1,6.717381954
1,6.003126144
1,6.949212551
1,8.050930977
1,6.31981039
1,6.868867874
1,11.4137249
1,7.141346931
1,6.582730293
1,8.418387413
1,8.621188164
1,5.853985786
1,5.036159992
1,6.577974319
1,7.756241798
1,8.294466972
1,5.889072895
1,6.840509892
1,5.52442503
1,10.21517658
1,6.556078911
1,8.800760269
1,8.911262512
1,7.45770359
1,7.280504704
1,6.237185001
1,7.676065922
1,5.755147457
1,7.758782864
1,7.496707439
1,9.951979637
1,7.554987907
1,7.168772221
1,7.896028996
1,4.541163445
1,8.970772743
1,7.830303669
1,4.718730927
1,6.800831318
1,8.587792397
1,6.52467823
1,7.540138245
1,7.16723156
1,8.587575912
1,7.420703888
1,7.396121979
1,6.921291351
1,7.854841232
1,8.129800797
1,6.60039711
1,8.049777985
1,9.052321434
1,4.268124104
1,9.578977585
1,7.926595211
1,8.818977356
1,8.770417213
1,5.590570927
1,8.214165688
1,8.754676819
1,7.569857121
1,7.449138165
1,7.600506783
1,9.481394768
1,5.215857506
1,5.189932346
1,7.31246233
1,7.018196106
1,6.193460464
1,8.838809967
1,7.162022591
1,6.877780914
1,6.449412823
1,6.516757011
1,7.482746601
1,6.206721306
1,9.763614655
1,8.145353317
1,7.450536251
1,7.165706158
1,5.233986378
1,13.14259624
1,7.261561394
1,6.691351891
1,7.959013462
1,7.208630562
1,6.132990837
1,9.31357193
1,8.231940269
1,7.12853384
1,3.816942215
1,6.911158562
1,6.503708363
1,6.969624519
1,8.705132484
1,5.356516361
1,5.099909306
1,6.356397629
1,7.821978092
1,6.820611954
1,8.282438278
1,7.603909016
1,7.325495243
1,9.099229813
1,8.144365311
1,7.038305759
1,8.854229927
1,5.424832344
1,8.027029037
1,7.025503635
1,8.877399445
1,7.049629211
1,7.958945274
1,6.729510307
1,5.418359756
1,6.978498459
1,7.102679729
1,6.620864868
1,7.335876942
1,7.197532654
1,7.085297585
1,9.208800316
1,5.204664707
1,6.069634914
1,6.331955433
1,5.903141499
1,6.773143291
1,8.266352654
1,9.030812263
1,6.788368225
1,6.311588764
1,7.860722065
1,6.699091434
1,6.707931519
1,4.923335075
1,7.177699089
1,8.096934319
1,7.197711468
1,6.766531467
1,9.257266045
1,9.171135902
1,7.960641861
1,8.098698616
1,7.458487988
1,7.464278221
1,6.594445705
1,8.377030373
1,4.668228626
1,7.049563885
1,10.66239262
1,6.942741394
1,10.52070427
1,7.532263279
1,4.372289658
1,4.822861671
1,6.556308746
1,5.609927177
1,6.227067947
1,7.677380085
1,6.242032051
1,6.378675461
1,11.72739029
1,7.265896797
1,8.283022881
1,7.310008526
1,17.91765022
1,5.764089584
1,7.451136589
1,6.872475147
1,4.645919323
1,8.025194168
1,5.437592983
1,9.402025223
1,7.603941441
1,6.332751751
1,9.676212311
1,7.764901161
1,7.051936626
1,8.526456833
1,7.230866432
1,9.199719429
1,5.156888485
1,7.917360783
1,6.417018414
1,6.863966465
1,6.123343468
1,8.680024147
1,8.376431465
1,7.216040611
1,12.02752304
1,7.79498148
1,9.037036896
1,7.069199562
1,6.951907635
1,6.778505325
1,5.475842476
1,7.833978653
1,5.70538187
1,4.841131687
1,8.995791435
1,8.087586403
1,7.07566452
1,6.952595711
1,7.023168564
1,6.677851677
1,7.467847347
1,11.63702011
1,6.972846508
1,4.305737019
1,6.556572914
1,9.299363136
1,7.09744215
1,7.483153343
1,6.383748531
1,5.949060917
1,6.392261505
1,6.516757011
1,8.528583527
1,7.782532215
